index,PC1,PC2,Cluster
0,1.0,1.0,1
1,0.23037809986965063,0.0,1
2,0.346868954721516,0.04266093459783432,1
3,0.38254850330627316,0.06271143459493739,1
4,0.6015293144810444,0.27287327648913495,1
5,0.465232772307406,0.14246094534289994,1
6,0.5052132853131122,0.16131940880867962,1
7,0.5577736540900773,0.2813826304887172,1
8,0.6041495794491499,0.13026016090871734,1
9,0.7713135405702831,0.4724273499071724,1
10,0.550090865896216,0.14627037583505292,1
11,0.48228089178384526,0.736685871674056,0
12,0.2737488419040435,0.5473654354989536,0
13,0.16187273813714484,0.5205729148536405,0
14,0.2593819249210062,0.5831091289413095,0
15,0.23838183293237222,0.6532415421895718,0
16,0.2432855820849907,0.6341105157340177,0
17,0.2390305171959636,0.697541534672391,0
18,0.0,0.37700220127001394,0
19,0.3499417573356644,0.8952161323871445,0
20,0.10251047877208291,0.5783876528991023,0
21,0.21467324685211875,0.840654171048008,0
22,0.2999796138459246,0.31399635608086096,0
