index,UMAP1,UMAP2,Cluster
0,0.39976953723363984,1.0,0
1,0.197775086250787,0.537471143593033,0
2,0.08924481292935349,0.5937655544130501,0
3,0.0,0.6771719480391138,0
4,0.3436948891882614,0.8370937724452001,0
5,0.2950084827324295,0.6863907440223411,0
6,0.017388634078306486,0.8416900482682594,0
7,0.18818243983174954,0.935055618322407,0
8,0.13843670068420177,0.8024083861075668,0
9,0.3180332830468626,0.9333428785936306,0
10,0.007303441905306185,0.9686514690267696,0
11,1.0,0.33885113853715165,1
12,0.7911926904220029,0.4274089988051354,1
13,0.6931145862643308,0.3442312540205874,1
14,0.4145180210385031,0.22896011386085874,1
15,0.7862262703230405,0.2441472193894042,1
16,0.6666328720945468,0.11445160908009225,1
17,0.4651144933937509,0.10075442797906584,1
18,0.5466158347655489,0.36043828394653904,1
19,0.935191924239719,0.20367027713866126,1
20,0.58384179054478,0.22399423029018964,1
21,0.6138613210066066,0.0,1
22,0.5848970601486262,0.5951710551601674,1
