index,MDS1,MDS2,Cluster
0,-3.024067498877983,7.747121848864203,1
1,-0.2654583328681903,-4.133242515696838,1
2,-0.9600063455918144,-3.1675233837385286,1
3,-1.3837240553196182,-2.702617564923757,1
4,-2.729063715510077,0.7976602813722128,1
5,-1.6895831703202122,-1.475725325414999,1
6,-2.026245221666857,-1.1766009357634923,1
7,-2.070289067247556,0.2070119876663818,1
8,-3.5380798102670576,-0.6242329552870275,1
9,-3.67536563202999,2.3280164627481397,1
10,-3.051126058661928,-1.5366502969856606,1
11,-0.0191396028975443,3.7125485265050666,0
12,0.8856140616695516,0.2767413046082969,0
13,2.228673118041704,-1.7487908719302223,0
14,2.849755269528067,0.0618045536736888,0
15,1.3698882675949329,1.4010246912920017,0
16,2.102887970502726,0.3929932155121547,0
17,3.0272015212139114,0.8074600926859212,0
18,3.321187601260055,-3.3075664078542752,0
19,1.7821824039231184,3.1748141954090907,0
20,3.452766235988552,-1.196647749220476,0
21,3.0977388110041,1.755829927007714,0
22,0.3142532505321099,-1.5934290805295974,0
