index,PC1,PC2
0,5.713396379098248,3.785145017581335
1,-1.449202536987245,-2.958466224350952
2,-0.36506333752511105,-2.6707774662056583
3,-0.03300639375009922,-2.535564689018831
4,2.004970592739357,-1.1183149293959243
5,0.7365068638956743,-1.9977649918002711
6,1.1085913628823998,-1.8705908455668698
7,1.5977521317835743,-1.0609311541027602
8,2.0293564723735393,-2.080042338871017
9,3.585092355840468,0.22740016347933387
10,1.5262511383989719,-1.9720756735080285
11,0.8951676843096443,2.0094569016428974
12,-1.04556637508391,0.7327534799249528
13,-2.086757717795101,0.5520751365015173
14,-1.1792741918609078,0.9737950528510061
15,-1.3747146231818066,1.446740783255828
16,-1.3290771635937264,1.3177285781804493
17,-1.3686775480901356,1.7454827105804838
18,-3.5932500597210963,-0.41610994163326753
19,-0.33646585001895235,3.078523349974138
20,-2.639221277515225,0.9419552539342642
21,-1.5953620513950397,2.710578694105662
22,-0.8014458548035204,-0.8409968675582845
