index,UMAP1,UMAP2
0,-3.840664,3.2778895
1,-4.5714674,1.17359
2,-4.9641232,1.4297044
3,-5.2870054,1.8091662
4,-4.0435386,2.536739
5,-4.219683,1.8511076
6,-5.2240944,2.55765
7,-4.606173,2.9824216
8,-4.78615,2.378936
9,-4.1363807,2.9746294
10,-5.260582,3.1352677
11,-1.6690674,0.26995778
12,-2.4245193,0.67285645
13,-2.7793598,0.2944349
14,-3.7873049,-0.22999725
15,-2.4424875,-0.16090271
16,-2.875169,-0.75095975
17,-3.60425,-0.8132758
18,-3.3093832,0.36816964
19,-1.903539,-0.3450547
20,-3.174702,-0.2525898
21,-3.0660932,-1.2716634
22,-3.1708841,1.4360988
